iliocristaleheight,kneeheightmidpatella,kneeheightsitting,lowerthighcircumference,poplitealheight,thighcircumference,thighclearance,tibialheight,waistheightomphalion,Heightin,weightkg,Gender
966,435,496,404,362,622,174,430,942,61,657,Female
1048,483,532,334,426,524,152,475,1032,64,534,Female
1043,470,530,401,398,577,164,458,1035,68,663,Female
1029,469,520,402,394,679,187,463,999,66,782,Female
964,440,491,479,345,766,197,429,911,63,886,Female
1080,478,542,423,401,674,196,474,1053,67,837,Female
1009,445,497,374,387,650,182,443,971,65,732,Female
1027,470,521,391,394,675,177,464,1004,66,760,Female
948,425,478,340,371,592,161,419,932,59,545,Female
958,429,473,386,349,604,172,421,922,63,684,Female
1041,472,541,460,386,740,195,470,1036,69,990,Female
1023,470,523,378,394,600,177,464,1003,66,742,Female
1014,464,515,386,385,623,162,451,1001,65,781,Female
1033,462,511,385,388,606,168,451,1017,66,718,Female
978,464,503,377,380,639,177,450,956,64,709,Female
1018,457,508,388,391,619,177,448,989,66,672,Female
978,449,500,377,391,564,173,434,970,65,620,Female
1038,474,523,369,406,569,153,470,1022,67,595,Female
1054,479,542,403,413,647,175,473,1019,66,741,Female
964,434,481,390,358,615,165,424,960,64,605,Female
882,394,447,386,325,695,191,385,837,60,800,Female
1050,474,528,427,383,677,181,461,1013,66,747,Female
980,454,491,329,385,492,155,441,972,64,491,Female
1025,474,520,375,400,614,170,454,983,66,703,Female
1032,485,540,402,411,603,172,470,1026,65,715,Female
993,456,496,357,380,630,171,443,941,63,708,Female
816,346,407,377,305,529,140,349,808,56,488,Female
1003,454,506,425,371,643,176,441,961,64,691,Female
1053,474,531,415,388,639,178,465,1011,67,730,Female
1014,465,517,369,393,565,162,458,968,64,610,Female
970,433,490,378,371,611,166,434,928,63,658,Female
990,442,500,402,379,625,173,433,965,66,709,Female
1059,476,537,399,409,601,174,466,1038,69,728,Female
1024,475,528,409,391,702,194,465,1004,66,846,Female
1014,452,507,476,356,735,203,441,968,66,945,Female
1030,453,513,386,384,621,175,450,1004,65,627,Female
1085,509,545,329,428,546,154,495,1077,67,578,Female
958,431,475,340,362,541,156,418,926,61,524,Female
