height(cm),weight(kg),gender,size
180.34,81.6466266,Male,XL-Large
172.72,72.57477920000001,Male,XL-Large
172.72,92.98643585,Male,XL-Large
167.64000000000001,79.37866475,Male,Large
195.58,96.61517481,Male,Large
175.26,79.37866475,Male,XL-Large
182.88,113.3980925,Male,X-Large
187.96,95.70799007000001,Male,XX-Large
177.8,99.79032140000001,Male,XX-Large
182.88,72.57477920000001,Male,Medium
177.8,88.45051215000001,Male,XX-Large
175.26,70.30681735,Male,Large
182.88,104.32624510000001,Male,XX-Large
190.5,113.3980925,Male,XX-Large
172.72,90.718474,Male,XX-Large
175.26,88.90410452,Male,XX-Large
170.18,77.1107029,Male,XL-Large
177.8,97.52235955,Male,XX-Large
177.8,75.74992579,Male,XL-Large
177.8,91.62565874,Male,XX-Large
180.34,74.84274105,Male,Medium
167.64000000000001,73.93555631000001,Male,XL-Large
167.64000000000001,79.37866475,Male,XX-Large
200.66,97.52235955,Male,Medium
177.8,96.16158244,Male,XX-Large
162.56,61.23496995,Male,XL-Large
185.42000000000002,104.32624510000001,Male,X-Large
180.34,79.83225712000001,Male,XL-Large
175.26,80.73944186,Male,Large
185.42000000000002,90.718474,Male,XL-Large
190.5,76.20351816,Male,Medium
180.34,92.98643585,Male,XX-Large
165.1,68.0388555,Male,XL-Large
187.96,89.81128926000001,Male,XL-Large
180.34,68.49244787,Male,Medium
180.34,87.99691978,Male,X-Large
172.72,68.0388555,Male,XL-Large
187.96,124.73790175,Male,X-Large
172.72,77.1107029,Male,Medium
175.26,87.54332741,Male,XX-Large
177.8,61.23496995,Male,Small
170.18,85.27536556,Male,XX-Large
185.42000000000002,79.37866475,Male,Large
172.72,86.1825503,Male,XL-Large
177.8,97.52235955,Male,Large
167.64000000000001,65.77089365,Male,Medium
175.26,70.30681735,Male,Large
175.26,83.91458845000001,Male,XX-Large
190.5,100.69750614,Male,XX-Large
167.64000000000001,86.1825503,Male,XX-Large
180.34,108.8621688,Male,X-Large
185.42000000000002,83.91458845000001,Male,XL-Large
165.1,73.02837157,Male,XX-Large
177.8,97.52235955,Male,XX-Large
170.18,78.47148001000001,Male,XL-Large
182.88,140.6136347,Male,3X-Large
180.34,66.67807839000001,Male,Small
177.8,86.1825503,Male,XX-Large
172.72,99.79032140000001,Male,XX-Large
190.5,97.52235955,Male,XX-Large
162.56,57.152638620000005,Male,Small
175.26,72.57477920000001,Male,XL-Large
185.42000000000002,72.57477920000001,Male,Medium
172.72,78.92507238,Male,XL-Large
175.26,99.79032140000001,Male,X-Large
170.18,66.22448602,Male,Large
167.64000000000001,81.6466266,Male,XX-Large
187.96,106.59420695,Male,XX-Large
177.8,68.0388555,Male,Medium
162.56,71.66759446,Male,Large
175.26,74.84274105,Male,Medium
172.72,63.502931800000006,Male,Medium
162.56,74.38914868,Male,XL-Large
175.26,74.84274105,Male,XL-Large
185.42000000000002,102.96546799000001,Male,X-Large
175.26,92.98643585,Male,XX-Large
167.64000000000001,92.98643585,Male,XX-Large
175.26,97.06876718000001,Male,XX-Large
185.42000000000002,88.45051215000001,Male,Large
182.88,97.97595192,Male,XL-Large
180.34,86.1825503,Male,XX-Large
177.8,73.93555631000001,Male,XL-Large
182.88,90.718474,Male,XX-Large
180.34,77.1107029,Male,Large
172.72,79.37866475,Male,XX-Large
157.48,62.59574706,Male,Large
172.72,76.65711053,Male,XX-Large
182.88,88.45051215000001,Male,XX-Large
177.8,64.86370891,Male,Small
170.18,72.57477920000001,Male,XL-Large
172.72,86.1825503,Male,XL-Large
172.72,86.1825503,Male,XX-Large
182.88,75.29633342000001,Male,Medium
185.42000000000002,68.0388555,Male,Medium
190.5,74.84274105,Male,Medium
182.88,77.1107029,Male,Medium
167.64000000000001,71.66759446,Male,Large
170.18,78.92507238,Male,XX-Large
187.96,74.84274105,Male,Medium
180.34,97.52235955,Male,Large
182.88,86.1825503,Male,XL-Large
175.26,72.57477920000001,Male,XL-Large
180.34,95.2543977,Male,XL-Large
182.88,81.6466266,Male,XL-Large
185.42000000000002,65.31730128000001,Male,Small
190.5,97.52235955,Male,XX-Large
175.26,86.1825503,Male,XL-Large
175.26,89.35769689,Male,XX-Large
185.42000000000002,83.00740371,Male,XL-Large
170.18,83.91458845000001,Male,XL-Large
185.42000000000002,97.52235955,Male,XX-Large
182.88,81.6466266,Male,XL-Large
170.18,84.82177319,Male,XX-Large
185.42000000000002,113.3980925,Male,X-Large
180.34,99.33672903,Male,Large
185.42000000000002,102.05828325,Male,X-Large
170.18,78.92507238,Male,XL-Large
177.8,86.1825503,Male,XX-Large
187.96,142.88159655,Male,3X-Large
167.64000000000001,77.1107029,Male,XL-Large
165.1,67.13167076,Male,XL-Large
175.26,77.1107029,Male,Large
172.72,70.30681735,Male,XL-Large
190.5,113.3980925,Male,XX-Large
190.5,90.718474,Male,XX-Large
177.8,72.57477920000001,Male,Large
180.34,83.00740371,Male,Large
185.42000000000002,100.69750614,Male,XL-Large
182.88,78.47148001000001,Male,XL-Large
175.26,98.88313666,Male,XX-Large
167.64000000000001,76.20351816,Male,XL-Large
182.88,91.17206637000001,Male,XX-Large
175.26,78.92507238,Male,Medium
175.26,83.91458845000001,Male,XX-Large
182.88,99.79032140000001,Male,XX-Large
170.18,73.48196394,Male,Medium
187.96,95.2543977,Male,X-Large
182.88,95.2543977,Male,XL-Large
180.34,104.32624510000001,Male,XX-Large
175.26,80.73944186,Male,Large
180.34,92.98643585,Male,XL-Large
177.8,90.718474,Male,XL-Large
190.5,104.32624510000001,Male,X-Large
167.64000000000001,88.90410452,Male,XL-Large
180.34,86.63614267,Male,XX-Large
190.5,117.48042383,Male,X-Large
172.72,79.37866475,Male,Large
180.34,88.45051215000001,Male,XL-Large
187.96,87.54332741,Male,XL-Large
193.04,80.73944186,Male,Medium
182.88,95.2543977,Male,XL-Large
182.88,107.04779932000001,Male,XX-Large
182.88,77.1107029,Male,Large
175.26,92.98643585,Male,XL-Large
193.04,108.8621688,Male,XX-Large
182.88,88.90410452,Male,XX-Large
177.8,107.95498406,Male,X-Large
177.8,97.06876718000001,Male,XL-Large
167.64000000000001,68.0388555,Male,XL-Large
180.34,87.99691978,Male,XX-Large
187.96,98.42954429000001,Male,XL-Large
175.26,97.52235955,Male,X-Large
185.42000000000002,97.52235955,Male,XX-Large
180.34,112.49090776,Male,X-Large
172.72,88.45051215000001,Male,XX-Large
172.72,95.2543977,Male,XX-Large
182.88,95.2543977,Male,XX-Large
165.1,72.12118683,Male,XL-Large
182.88,103.41906036,Male,XX-Large
172.72,76.65711053,Male,XL-Large
195.58,108.8621688,Male,XX-Large
175.26,81.6466266,Male,XL-Large
180.34,95.2543977,Male,XX-Large
172.72,72.57477920000001,Male,Large
175.26,74.84274105,Male,Medium
185.42000000000002,83.91458845000001,Male,XL-Large
170.18,86.1825503,Male,XX-Large
182.88,97.52235955,Male,XX-Large
180.34,83.91458845000001,Male,XX-Large
175.26,81.6466266,Male,XX-Large
172.72,74.84274105,Male,XL-Large
167.64000000000001,90.718474,Male,XL-Large
175.26,74.84274105,Male,XL-Large
190.5,72.57477920000001,Male,Medium
172.72,72.57477920000001,Male,Medium
177.8,75.74992579,Male,Large
195.58,113.3980925,Male,XX-Large
187.96,83.91458845000001,Male,XL-Large
190.5,90.718474,Male,XL-Large
172.72,67.13167076,Male,Large
165.1,85.27536556,Male,XX-Large
187.96,83.91458845000001,Male,XL-Large
180.34,99.79032140000001,Male,XX-Large
177.8,103.41906036,Male,XX-Large
172.72,73.02837157,Male,Large
180.34,70.76040972,Male,Medium
172.72,68.94604024,Male,XL-Large
185.42000000000002,79.37866475,Male,Large
172.72,90.718474,Male,XX-Large
180.34,84.82177319,Male,XL-Large
