iliocristaleheight,kneeheightmidpatella,kneeheightsitting,lowerthighcircumference,poplitealheight,thighcircumference,thighclearance,tibialheight,waistheightomphalion,Heightin,weightkg,Gender
1071,502,560,391,437,610,164,491,1054,71,815,Male
1046,490,540,371,417,572,169,476,1054,68,726,Male
1053,496,556,409,431,685,198,477,1041,68,929,Male
986,460,511,393,393,604,180,445,968,66,794,Male
1251,612,666,458,523,672,194,584,1245,77,946,Male
1022,491,537,372,419,607,171,473,1020,69,802,Male
1098,511,574,473,435,754,225,503,1082,72,1162,Male
1125,511,579,440,445,644,183,509,1110,74,954,Male
1058,496,558,421,427,635,188,482,1033,70,995,Male
1106,535,585,361,459,525,167,504,1091,72,702,Male
1055,502,556,391,435,624,183,487,1033,70,882,Male
1080,509,558,390,430,567,171,488,1067,69,701,Male
1138,529,586,436,448,689,205,508,1128,72,1037,Male
1138,532,591,441,453,704,197,519,1130,75,1116,Male
1033,469,526,439,389,695,200,457,1012,68,896,Male
1070,515,575,400,457,640,200,501,1048,69,924,Male
1017,476,535,393,409,604,183,467,1020,67,779,Male
1048,486,550,421,420,674,200,481,1030,70,969,Male
1077,507,556,385,429,613,185,485,1091,70,760,Male
1060,485,542,408,417,632,188,475,1054,70,908,Male
1056,495,552,367,434,553,166,481,1076,71,714,Male
992,468,513,376,401,638,190,446,1003,66,746,Male
1014,487,526,405,398,639,183,461,1005,66,792,Male
1230,563,632,407,505,646,191,555,1225,79,915,Male
1046,494,545,424,416,665,206,473,1057,70,965,Male
984,463,515,381,396,588,169,454,959,64,675,Male
1091,509,561,432,428,706,205,488,1063,73,1073,Male
1073,505,559,412,431,621,172,495,1070,71,793,Male
1061,491,548,414,427,635,173,484,1048,69,782,Male
1075,515,567,416,445,646,187,499,1083,73,882,Male
1133,522,584,367,457,531,172,509,1137,75,715,Male
1052,519,570,437,442,684,189,503,1041,71,947,Male
1013,481,522,366,403,557,162,454,1016,65,665,Male
1155,538,592,415,465,617,183,519,1139,74,879,Male
1064,490,552,357,439,528,164,486,1071,71,675,Male
1088,526,575,391,445,620,180,508,1053,71,884,Male
1016,479,526,396,402,637,172,459,1012,68,695,Male
1106,529,592,488,447,781,221,516,1107,74,1218,Male
1045,508,556,379,432,594,176,484,1045,68,719,Male
1037,490,543,431,420,613,175,476,1012,69,881,Male
1032,481,531,318,425,497,150,463,1044,70,575,Male
996,506,545,412,412,628,179,475,966,67,876,Male
1108,508,575,429,439,627,186,501,1099,73,850,Male
1037,482,538,388,415,630,179,475,1048,68,865,Male
1076,516,567,440,434,698,188,487,1052,70,958,Male
970,451,506,388,392,551,160,440,975,66,667,Male
1033,486,540,364,427,570,160,473,1039,69,706,Male
1027,488,536,412,410,652,189,471,1024,69,847,Male
1113,531,596,421,461,642,184,524,1114,75,1013,Male
975,476,521,425,378,658,191,456,949,66,856,Male
1073,511,572,517,407,773,201,488,1053,71,1095,Male
1130,533,593,399,465,628,179,520,1122,73,834,Male
975,450,506,387,387,582,165,439,964,65,727,Male
1034,491,552,447,419,662,198,476,1035,70,986,Male
990,475,528,392,409,589,164,466,985,67,773,Male
1088,545,600,500,444,781,223,526,1063,72,1400,Male
1103,521,570,359,453,532,165,501,1113,71,674,Male
1044,477,535,418,411,671,192,458,1037,70,884,Male
1039,493,537,405,411,646,195,465,992,68,988,Male
1113,520,578,416,450,613,183,505,1108,75,952,Male
976,450,504,351,401,518,156,446,963,64,566,Male
1058,491,545,379,423,592,172,478,1040,69,717,Male
1106,518,580,372,458,547,164,509,1113,73,717,Male
1029,487,540,418,418,621,176,472,1020,68,802,Male
1031,495,539,436,413,685,204,479,1015,69,988,Male
1019,484,526,371,407,567,169,454,1026,67,662,Male
1006,467,521,415,400,621,183,451,993,66,807,Male
1137,528,591,437,455,658,190,511,1137,74,1053,Male
1066,494,551,369,438,548,160,485,1069,70,683,Male
976,452,506,406,381,614,183,443,983,64,749,Male
1064,491,554,408,433,593,163,488,1067,69,738,Male
1068,523,555,341,440,498,149,489,1062,68,604,Male
951,451,508,400,379,585,175,437,955,64,774,Male
1003,458,516,381,395,614,187,449,1006,69,768,Male
1106,537,587,424,451,694,206,514,1094,73,1022,Male
1011,483,533,420,393,609,166,463,1013,69,963,Male
977,468,524,419,396,685,192,446,995,66,923,Male
1087,510,572,433,437,687,206,500,1063,69,988,Male
1107,501,563,387,447,636,182,486,1129,73,887,Male
1125,524,588,463,438,669,192,516,1108,72,987,Male
1068,505,558,399,433,631,179,490,1072,71,852,Male
1066,502,555,396,432,588,171,484,1065,70,748,Male
1085,523,577,428,450,641,190,500,1110,72,920,Male
1055,500,560,395,433,581,166,484,1053,71,744,Male
1019,496,536,384,425,592,179,473,1016,68,823,Male
910,422,472,386,350,570,173,400,908,62,627,Male
1038,498,545,383,425,597,173,471,1013,68,778,Male
1059,496,551,416,425,639,180,480,1068,72,882,Male
1083,514,569,332,455,507,153,502,1082,70,590,Male
1000,464,520,366,405,555,161,451,997,67,730,Male
1045,481,542,428,415,649,181,468,1049,68,864,Male
1043,481,543,421,414,641,186,461,1045,68,866,Male
1058,491,548,380,434,609,178,479,1056,72,737,Male
1122,520,576,356,454,507,162,506,1113,73,654,Male
1117,506,567,374,444,532,157,492,1119,75,696,Male
1102,518,568,383,445,576,180,501,1092,72,775,Male
995,467,519,398,401,629,182,453,1015,66,727,Male
1027,493,537,389,412,613,194,473,1011,67,797,Male
1062,487,543,376,423,586,161,469,1070,74,744,Male
1050,482,543,408,421,713,207,470,1018,71,968,Male
1098,513,582,417,458,597,180,501,1102,72,866,Male
1062,517,561,384,432,598,178,480,1054,69,742,Male
1087,514,570,453,428,680,177,496,1092,71,920,Male
1044,496,543,414,415,627,182,465,1058,72,814,Male
1109,521,577,358,462,517,151,501,1112,73,646,Male
